Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2017,6,Male,11,Right-Handed,144,21,135,1,Car,45,0.716,71,Soccer,999,999,950,925,800,825,24,Left foot,75,70,Index finger,October,Summer,No,No,Rice/Noodle dishes,Water,Geography,9.5,9.0,3,Yes - broadband connection,Internet chat or instant messaging,5,7,30,1,6,14,15,11,4,4,5,4,0,2,Very little,Graduate degree,Rock and roll,Telepathy,Happy,Community leader or elder,Health
USA,NY,2011,12,Male,17,Right-Handed,174,263,170,2,Bus,10,0.313,29,Soccer,1000,1000,1000,,1000,1000,264,Same length,90,87,Index finger,February,Summer,No,No,Other,Water,Mathematics and statistics,5.0,12.0,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",0,10,5,1,15,20,15,5,3,1,21,3,0,0,A lot,Graduate degree,Classical,Invisibility,Rich,Business person,International aid
USA,NY,2016,11,Female,17,Right-Handed,165,22,,1,Car,10,,,Swimming,1000,500,500,500,10,100,21,Right foot,81,85,Ring finger,December,Fall,Yes,No,Meat,Water,Science,6.0,9.0,4,Yes - broadband connection,Internet chat or instant messaging,20,30,4,0,12,6,7.5,0,6,6,6,0,0,4,A lot,Undergraduate degree,Other,Fly,Happy,Relative,"Wildlife, animals"
USA,NY,2019,12,Male,18,Right-Handed,167,24,168,3,Rail (Train/Tram/Subway),45,0.338,42,Other,500,500,500,500,600,600,24,Right foot,100,100,Same length,October,Summer,No,No,Meat,Water,Social studies,8.0,8.0,4,Yes - broadband connection,Internet chat or instant messaging,0,0,0,0,10,5,50,0,2,0,30,0,0,0,A lot,Graduate degree,Other,Freeze time,Healthy,Relative,Health
USA,NY,2023,10,Female,15,Right-Handed,,,,3,Rail (Train/Tram/Subway),41,0.43,36,Martial Arts,738,663,642,620,701,834,,,,,,November,Fall,Yes,No,Fruit,Tea,Science,8.0,10.0,5,Yes - broadband connection,Text messaging,133,158,6,3,28,10,3,1,5,5,29,12,0,7,Some,Graduate degree,Pop,Fly,Happy,Relative,"Arts, culture, sports"
USA,NY,2019,12,Female,17,Right-Handed,160,26,149.5,1,Walk,10,0.364,47,Cycling,700,850,850,850,600,600,26.5,Left foot,65,63,Ring finger,March,Fall,Yes,No,Rice/Noodle dishes,Water,Mathematics and statistics,7.0,10.0,4,Yes - broadband connection,In person,0,0,3,1,15,2,0,0,0.25,1,7,2,0,5,Very little,Undergraduate degree,Techno/Electronic,Freeze time,Famous,Musician or singer,Environment
USA,NY,2021,12,Male,17,Right-Handed,182.9,30.5,182.9,1,Bus,20,0.427,35,Walking/Hiking,941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2023,11,Male,17,Right-Handed,171,24,,2,Walk,30,0.058,39,Martial Arts,,,,,,,24,Same length,,,Ring finger,December,Spring,Yes,No,Meat,Water,Science,8.5,9.0,3,Yes - other,In person,20,100+,12,2,5,10,24,1,1,5,12,1,6,3,Some,Some college,Rap/Hip hop,Fly,Healthy,Sports person,Environment
USA,NY,2023,12,Male,17,Ambidextrous,182.8,25.4,164,3,Bicycle,30,0.268,43,Skateboarding/Rollerblading,497,583,75,0,497,513,26,Left foot,89,90,Ring finger,July,Fall,Yes,No,Rice/Noodle dishes,Water,Other,4.0,5.0,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",5,2,15,8,3,13,6,4,3,6,10,6,22,15,Very little,Graduate degree,Techno/Electronic,Invisibility,Happy,Relative,Religious
USA,NY,2023,12,Female,17,Right-Handed,157,21,152,3,Bicycle,15,0.366,42,Soccer,695,877,695,594,278,694,20,Right foot,73,75,Ring finger,July,Summer,Yes,Yes,Fruit,Water,English,8.0,9.0,3,Yes - broadband connection,In person,25,35,36,4,9,24,6,0,1,4,3,7,10,4,Some,Undergraduate degree,Rock and roll,Freeze time,Happy,Relative,Health
